inquiry_type,project_type,service_needed,budget_range,project_timeline,city,preferred_contact,message_length,lead_score
Dealership Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Bengaluru,WhatsApp,154,0
Bulk Order Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Delhi,Email,56,0
Dealership Inquiry,Commercial,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Kochi,WhatsApp,319,1
Product Inquiry,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Pune,Phone,121,1
Product Inquiry,Commercial,Color Consultation,"Above ₹10,00,000",1-4 Weeks,Pune,Phone,87,1
Dealership Inquiry,Residential,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Bengaluru,WhatsApp,314,1
Product Inquiry,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",3+ Months,Bengaluru,Email,225,0
Dealership Inquiry,Residential,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Hyderabad,Phone,159,1
Dealership Inquiry,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,WhatsApp,147,0
Dealership Inquiry,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,Email,276,1
Dealership Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Pune,Phone,157,1
Product Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",3+ Months,Kochi,Phone,201,0
Bulk Order Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Trivandrum,WhatsApp,111,1
Product Inquiry,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",3+ Months,Mumbai,WhatsApp,244,0
General Feedback,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",3+ Months,Coimbatore,WhatsApp,118,1
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Chennai,WhatsApp,310,0
Bulk Order Inquiry,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Phone,176,0
General Feedback,Industrial,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Mumbai,WhatsApp,174,0
Other,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Mumbai,Phone,299,1
Bulk Order Inquiry,Residential,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,311,0
Product Inquiry,Residential,Color Consultation,"Above ₹10,00,000",3+ Months,Delhi,WhatsApp,197,1
Other,Industrial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Mumbai,Email,75,0
Dealership Inquiry,Industrial,Exterior Solutions,"Above ₹10,00,000",Urgent (Within 1 Week),Delhi,WhatsApp,310,2
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,244,1
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,WhatsApp,72,0
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,Phone,70,0
Product Inquiry,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Madurai,WhatsApp,149,0
General Feedback,Residential,Color Consultation,"₹2,00,000 - ₹10,00,000",1-3 Months,Coimbatore,Phone,137,1
General Feedback,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Pune,Email,90,0
Product Inquiry,Residential,Interior Solutions,"Below ₹10,000",1-4 Weeks,Kochi,Email,256,0
Bulk Order Inquiry,Residential,Color Consultation,"Below ₹10,000",1-3 Months,Trivandrum,Email,321,0
Other,Commercial,Exterior Solutions,"Above ₹10,00,000",1-3 Months,Kochi,Email,125,1
Bulk Order Inquiry,Commercial,Interior Solutions,"Above ₹10,00,000",Urgent (Within 1 Week),Kochi,Phone,41,2
General Feedback,Industrial,Special Effects & Textures,"Above ₹10,00,000",3+ Months,Kochi,Email,324,1
Product Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,Email,317,0
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Trivandrum,Email,311,0
Bulk Order Inquiry,Commercial,Color Consultation,"Below ₹10,000",Urgent (Within 1 Week),Madurai,Email,160,1
Dealership Inquiry,Industrial,Commercial Services,"Below ₹10,000",Urgent (Within 1 Week),Pune,Phone,338,2
Product Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Hyderabad,Phone,242,0
Technical Support,Industrial,Commercial Services,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Bengaluru,Email,274,1
Dealership Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Pune,Phone,218,1
Product Inquiry,Residential,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Trivandrum,Phone,310,1
Other,Residential,Color Consultation,"Below ₹10,000",3+ Months,Trivandrum,Email,175,0
Product Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Hyderabad,WhatsApp,144,0
General Feedback,Industrial,Exterior Solutions,"Above ₹10,00,000",1-3 Months,Hyderabad,Email,87,1
Product Inquiry,Residential,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Kochi,WhatsApp,174,1
Bulk Order Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Pune,WhatsApp,116,1
Dealership Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,WhatsApp,226,1
Product Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-3 Months,Mumbai,Email,248,0
Bulk Order Inquiry,Residential,Professional Painting,"Above ₹10,00,000",1-3 Months,Pune,Phone,251,1
Bulk Order Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Bengaluru,Phone,176,1
Bulk Order Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Delhi,Email,275,1
Product Inquiry,Commercial,Interior Solutions,"Below ₹10,000",1-4 Weeks,Trivandrum,Phone,75,0
Dealership Inquiry,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Mumbai,WhatsApp,54,1
Other,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,Phone,262,0
Dealership Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,WhatsApp,335,1
General Feedback,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Bengaluru,WhatsApp,140,0
Other,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Phone,103,0
Dealership Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Coimbatore,WhatsApp,323,0
Other,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Trivandrum,Email,331,0
Technical Support,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Kochi,Phone,350,0
General Feedback,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,WhatsApp,126,0
Dealership Inquiry,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Delhi,Email,160,1
